"전라북도",임실,25,23,20,15,14,12,13,8,10,17,28
"전라북도",전주,29,27,25,21,17,11*,14,8,13,17,27
"전라북도",군산,25,26,23,22,18,14,15,9,17,19,29
"전라북도",익산,29,28,26,23,20,14,15,8,14,21,32*
"전라북도",남원,25,22,21,17,16,13,14,10,12,15,24
"전라북도",정읍,27,27,23,22,18,15,18,12,16,17,25
"전라북도",고창,22,21,18,17,15,11,12,8,11,15,23
"전라북도",부안,31,30,26,24,19,14,17,11,19,19,29
"전라북도",김제,36,35,29,24,19,13,15,12,19,22,33
"전라북도",완주,28,27,25,21,17,12,15,9,12,14,22
"전라북도",진안,26,24,24,20,18,11,11,10,10,12,19
"전라북도",무주,21,19,18,13,13,12,12,7,7,10,18
"전라북도",순창,16,17,15,13,14,13,14,10,10,19,25
"전라북도",장수,24,21,19,14,13,11,10,7,5,15,22
"전라북도",도평균,27,26,23,21,17,13,15,9,14,18,27
"전라남도",화순,23,22,15,14,16,11,10,9,11,11,15
"전라남도",여수,21,19,18,14,16,9,11,8,10,11,18
"전라남도",광양,18,17,18,15,16,13,13,9,9,10,17
"전라남도",순천,16,17,16,13,14,10,11,7,9,10,17
"전라남도",목포,17,18,14,14,13,10,11,8,12,11,15
"전라남도",영암,26,27,22,20,16,11,10,7,12,15,21
"전라남도",나주,24,23,19,16,13,9,9,6,12,16,23
"전라남도",담양,22,20,19,16,18,14,12,9,12,13,21
"전라남도",장성,25,26,23,18,14,12,14,10,8,14,21
"전라남도",해남,19,21,18,18,16,13,12,10,13,9,14
"전라남도",영광,29,28,21,19,16,15,16,12,17,20,30
"전라남도",장흥,17,16,15,15,17,11,11,8,9,10,16
"전라남도",진도,18,17,13,14,13,9,9,7,11,9,13
"전라남도",완도,19,16,13,12,14,10,10,7,11,10,14
"전라남도",함평,27,25,18,14,15,11,11,9,12,13,16
"전라남도",고흥,24,24,19,15,17,11,9,8,10,10,15
"전라남도",신안,18,18,14,14,14,10,10,6,10,9,14
"전라남도",무안,22,22,19,18,16,13,10,9,16,17,19
"전라남도",강진,17,18,14,13,14,12,15,11,8**,-,13*
"전라남도",곡성,32*,-,16,15,16,12,13,9,11,14,22
"전라남도",구례,17,15,14,12,12,9,9,5,7,8,14
"전라남도",보성,23,23,19,15,16,9,10,8,11,11,16
"전라남도",도평균,21,20,17,15,15,11,11,8,11,11,17
"경상북도",영덕,18,17,17,15,15,12,12,10,8,8,15
"경상북도",영천,22,21,22,16,16,13,16,12,10,13,24
"경상북도",의성,25,22,20,14,14,11,11*,8**,7**,10**,22
"경상북도",울릉도,9,11,15,14,17,12,9,11,12*,18,18
"경상북도",포항,21,20,22,17,17,12,12,11,12,15,24
"경상북도",구미,27,24,23,16,16,12,11,10,11,17,28
"경상북도",김천,23,22,22,15,14,11,10,8,9,14,25
"경상북도",경주,20,20,21,17,18,12,13,11,10,12,19
"경상북도",안동,21,20,19,15,15,11,10,8,6,11,22
"경상북도",영주,32,27,26,20,18,14,12,12,14,22,36
"경상북도",경산,25,23,23,17,16*,13,14,12*,12*,12,24
"경상북도",상주,29,26,26,18,17,15,15**,-,-,-,28
"경상북도",칠곡,26,24,25,18,19,16,18**,-,-,-,25
