"충청남도",청양,42,47,71,40,56,29,19,18,15,28,39,39
"충청남도",금산,43,44,61,36*,52,31,16,17,15,26,40,44
"충청남도",예산,44,54,81,42,55,33,22,22,17,35,44,43
"충청남도",계룡,34,43,62,-,55,29,18,18,15,24,38,42
"충청남도",서천,43,45,81,41,60,29,21,18,17,30,40,37
"충청남도",도평균,45,52,79,46,63,34,23,23,18,32,43,42
"전라북도",임실,36,37*,64,39,47,31,18,19,16,24,33,35
"전라북도",전주,42,47,80,47,57,38,18,19,17,32,43,41
"전라북도",군산,42,46,89,46,63,41,24,21,21,34,44,40
"전라북도",익산,42,43,75,44,59,37,20,21,19*,36,44,41
"전라북도",남원,35,36,56,36,43,28,17,19,16,25,32,32*
"전라북도",정읍,37,41,70,38,52,36,22,22,18,29,35,33
"전라북도",고창,33,37,75,39,55,30,19,19,17,26,35,33
"전라북도",부안,45*,44,85,42,59,31,22,22,21,38,45,41
"전라북도",김제,45,46,88,47,64,40,21,22,19,37,45,41
"전라북도",완주,40,43,71,43,55,36,17,17,17,28,37,38
"전라북도",진안,34,36,58,37,46,32,23,25,21,27,34,31
"전라북도",무주,35,34,57,37,46,30,21,21,17,21,29,33
"전라북도",순창,41,44,73,46,53,34,19,18,18,26,36,36
"전라북도",장수,34,33,47,35,43,29,16,18,16,23,31,31
"전라북도",도평균,40,42,75,43,56,36,20,20,18,31,40,38
"전라남도",화순,30,31,58,34,43,25,17,18,16,23,30,29
"전라남도",여수,31,30,54,30,42,23,18,18,16,23,30,27
"전라남도",광양,36,36,59,36,49,29,20*,20*,17*,22*,32*,30*
"전라남도",순천,33,32,58,33,36,26,18,18,16,22,30,25
"전라남도",목포,38,43,88,39,52,29,22,21,18,26,38,34
"전라남도",영암,36,37,68**,33**,54,28,17*,17**,18**,29**,39,41
"전라남도",나주,28,31,58,31,44,24,15,14,12,19,30,32
"전라남도",담양,38,43,73,45,37,37,24,23,22,33,41,36
"전라남도",장성,34,39,69,43,53,33,23,22,20,27,34,35
"전라남도",해남,32,36,70,36,50,27,20,22,19,27,38,37
"전라남도",영광,38,41,81,41,59,31,21,21,19,29,39,37
"전라남도",장흥,31,34,67,35,50,32,29,30,29,28,31,29
"전라남도",진도,34,37,80,33,50,25,25,27*,17,23,30,29
"전라남도",완도,30,28,63,29,46,19,15,15,14,21,30,28
"전라남도",함평,40,45,83,39,54,26,18,17,16,27,38,38
"전라남도",고흥,31,31,60,31,43,23,19,20,19,24,31,32
"전라남도",신안,28,35,77,35,51,24,18,18,15,21,33,27
"전라남도",무안,38,43,80,44,59,37,27,26,25,34,41,37
"전라남도",강진,29,33,53,30,44,24,21,21,18,22,27,26
"전라남도",곡성,38,38,60,35,48,27,16,18,16,25,32,37
"전라남도",구례,34,36,59,37,47,32,22,19,19,25,31,35
"전라남도",보성,40,40,66,34,45,25,20,20,17,24,33,34
"전라남도",도평균,34,35,64,34,46,27,19,20,17,24,33,31
"경상북도",영덕,30,33,47,34,38,21,16,20,13,16,27,25
"경상북도",영천,35,37,55,39,39,32,20,21,15,24,34,33
"경상북도",의성,32,32,44,32,37,25,16,18,14,17,31,30
"경상북도",울릉도,27,36,51,39,37,23,18,23,19,19,25,24
"경상북도",포항,41,44,63,49,46,35,23,26,22,28,42,36
"경상북도",구미,49**,45*,62,45,46,33,23,26,23,31,44,40
"경상북도",김천,42,42,61,41,41,28,18,19,17,28,39,38
"경상북도",경주,34,36,55,40,37,29,18,19,14,20,33,29
"경상북도",안동,36,39,53,37,50,30,19,23,24,41,37,34
